dll,dll_Cn,exe,exe_Cn,lib,lib_Cn,other,other_Cn,py,py_Cn,pyc,pyc_Cn,sql,sql_Cn,txt,txt_Cn,zz_level,zz_time,zz_today,path
0,0,191190016,29,0,0,95478,6,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\bin
0,0,0,0,0,0,212103177,299,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data
0,0,0,0,0,0,58942,3,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\docs
0,0,0,0,0,0,792420,72,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\include
25768960,24,0,0,0,0,227,1,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\lib
0,0,0,0,0,0,34871,1,0,0,0,0,0,0,0,0,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\scripts
0,0,0,0,0,0,1671946,50,0,0,0,0,831057,6,530501,2,1,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\share
0,0,0,0,0,0,1004265,17,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\blogs
0,0,0,0,0,0,568394,12,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\cci_apart_norm
0,0,0,0,0,0,510307,9,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\ci_books_reviews
0,0,0,0,0,0,107207,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\ci_login_n_reg
0,0,0,0,0,0,107085,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\ci_notes
0,0,0,0,0,0,107111,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\ci_sr_routes
0,0,0,0,0,0,370439,7,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\ci_travel
0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\demo_mvc
0,0,0,0,0,0,246711,5,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\friendships
0,0,0,0,0,0,71847,13,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\lead_gen_business
0,0,0,0,0,0,106991,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\myownapi
0,0,0,0,0,0,1613495,79,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\mysql
0,0,0,0,0,0,485447,53,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\performance_schema
0,0,0,0,0,0,214167,5,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\quotingdojo
0,0,0,0,0,0,107039,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\reginfo
0,0,0,0,0,0,123545,3,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\reg_and_login
0,0,0,0,0,0,23856326,51,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\sakila
0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\test
0,0,0,0,0,0,386771,7,0,0,0,0,0,0,0,0,2,21:21:23,2016-11-26,C:\wamp\bin\mysql\mysql5.6.17\data\the_wall
