dll,dll_Cn,exe,exe_Cn,lib,lib_Cn,other,other_Cn,py,py_Cn,pyc,pyc_Cn,sql,sql_Cn,txt,txt_Cn,zz_level,zz_time,zz_today,path
2659328,4,0,0,0,0,4656796,19,0,0,0,0,0,0,0,0,1,19:43:31,2016-11-08,/Python27\DLLs
0,0,0,0,0,0,6132901,1,0,0,0,0,0,0,0,0,1,19:43:31,2016-11-08,/Python27\Doc
0,0,0,0,0,0,449557,92,0,0,0,0,0,0,0,0,1,19:43:31,2016-11-08,/Python27\include
13147947,1,1525248,17,112626,1,35128574,1427,41883881,2901,28429789,1748,0,0,445173,146,1,19:43:31,2016-11-08,/Python27\Lib
0,0,0,0,283800,18,812472,1,0,0,0,0,0,0,0,0,1,19:43:31,2016-11-08,/Python27\libs
0,0,0,0,0,0,17679,1,0,0,0,0,0,0,0,0,1,19:43:31,2016-11-08,/Python27\man
0,0,1293711,15,0,0,1298,2,1480,3,993,1,0,0,0,0,1,19:43:31,2016-11-08,/Python27\Scripts
300544,3,0,0,726278,5,5799042,1224,3597,1,0,0,0,0,4466,1,1,19:43:31,2016-11-08,/Python27\tcl
0,0,0,0,0,0,396,2,485309,89,0,0,0,0,52011,10,1,19:43:31,2016-11-08,/Python27\Tools
0,0,0,0,0,0,0,0,315410,32,0,0,0,0,0,0,2,19:43:31,2016-11-08,/Python27\Lib\bsddb
0,0,0,0,0,0,0,0,187692,11,230439,11,0,0,0,0,2,19:43:31,2016-11-08,/Python27\Lib\compiler
0,0,0,0,0,0,0,0,258848,60,35952,4,0,0,0,0,2,19:43:31,2016-11-08,/Python27\Lib\ctypes
0,0,0,0,0,0,0,0,19180,6,0,0,0,0,0,0,2,19:43:31,2016-11-08,/Python27\Lib\curses
0,0,608256,5,0,0,2249,1,852066,94,362970,34,0,0,0,0,2,19:43:31,2016-11-08,/Python27\Lib\distutils
0,0,0,0,0,0,29098,2,433113,29,128781,15,0,0,60562,47,2,19:43:31,2016-11-08,/Python27\Lib\email
